RTSD_Code,RTSD_ID,Belarus_Equivalent,Belarus_Description_RU,Belarus_Description_EN,Status,Category,Notes
1_30,134,1.28,Низколетящие самолеты,Low-flying aircraft,MATCH,WARNING,CHANGE TO 1.28    
1_31,89,-,Направление поворота (направо),Hazard chevron (right),VARIANT,WARNING,ЗНАК ТОННЕЛЬ БУДЕТ УБИРАТЬСЯ
1_33,23,1.30,Прочие опасности,Other dangers,MATCH,WARNING,CHANGE TO 1.30



2_1,0,2.1,Главная дорога,Priority road,MATCH,PRIORITY,CORRECT. 2.1
2_2,11,2.2,Конец главной дороги,End of priority road,MATCH,PRIORITY, CORRECT. 2.2
2_3,57,2.3.1,Пересечение со второстепенной дорогой,Intersection with a secondary road,VARIANT,PRIORITY, CHANGE TO 2.3.1
2_3_2,53,2.3.2,Примыкание второстепенной дороги (справа),Secondary road junction (right),MATCH,PRIORITY, CORRECT. 2.3.2
2_3_3,59,2.3.3,Примыкание второстепенной дороги (слева),Secondary road junction (left),MATCH,PRIORITY, CORRECT. 2.3.3
2_3_4,104,2.3.4,Пересечение равнозначных дорог,Crossroads,MATCH,PRIORITY, CHANGE TO 2.3.4
2_4,12,2.4,Уступить дорогу,Give way,MATCH,PRIORITY, CORRECT. 2.4
2_5,67,2.5,Движение без остановки запрещено,Stop,MATCH,PRIORITY, CORRECT. 2.5
2_6,107,2.6.1,Преимущество встречного движения,Give way to oncoming traffic,VARIANT,PRIORITY,CHANGE TO 2.6 (не делим на постоянные и временные)
2_7,113,2.7,Преимущество перед встречным движением,Priority over oncoming traffic,MATCH,PRIORITY, CORRECT. 2.7



3_1,68,3.1,Въезд запрещён,No entry,MATCH,PROHIBITORY,CORRECT. 3.1
3_2,71,3.2,Движение запрещено,No traffic,MATCH,PROHIBITORY, CORRECT. 3.2

3_4,17,3.4,Движение грузовых автомобилей запрещено,No lorries,MATCH,PROHIBITORY, ПОКА ХЗ
3_4_1,19,-,-,-,RUSSIAN_ONLY,UNKNOWN,No Belarus equivalent found ПОКА ХЗ

3_6,145,3.6,Движение тракторов запрещено,No tractors,MATCH,PROHIBITORY, CORRECT. 3.6
3_10,90,3.10,Движение пешеходов запрещено,No pedestrians,MATCH,PROHIBITORY, CORRECT. 3.10
3_11,123,3.11,Ограничение массы,Weight limit,VARIANT,PROHIBITORY, CHANGE TO 3.11 (без временного эквивалента)
3_12,139,3.12,Ограничение нагрузки на ось,Axle weight limit,VARIANT,PROHIBITORY, CHANGE TO 3.12 (без временного эквивалента)
3_13,56,3.13,Ограничение высоты,Height limit,MATCH,PROHIBITORY, CORRECT. 3.13
3_14,78,3.14,Ограничение ширины,Width limit,MATCH,PROHIBITORY, CORRECT. 3.14
3_16,133,3.16,Ограничение минимальной дистанции,Minimum distance limit,MATCH,PROHIBITORY, CORRECT. 3.16
3_18,44,3.18.1,Поворот направо запрещён,No right turn,VARIANT,PROHIBITORY,CHANGE TO 3.18.1
3_18_2,108,3.18.2,Поворот налево запрещён,No left turn,MATCH,PROHIBITORY, CHANGE TO 3.18.2
3_19,111,3.19,Разворот запрещён,No U-turn,MATCH,PROHIBITORY,CHANGE TO 3.19
3_20,70,3.20,Обгон запрещён,No overtaking,VARIANT,PROHIBITORY,CHANGE TO 3.20 (без временного эквивалента)   
3_21,101,3.21,Конец зоны запрещения обгона,End of no overtaking zone,VARIANT,PROHIBITORY,CHANGE TO 3.21 (без временного эквивалента)
3_24,3,3.24,Ограничение максимальной скорости,Maximum speed limit,VARIANT,PROHIBITORY,CHANGE TO 3.24 (без временного эквивалента)
3_25,8,3.25,Конец зоны ограничения максимальной скорости,End of maximum speed limit zone,VARIANT,PROHIBITORY,CHANGE TO 3.25 (без временного эквивалента)
3_27,25,3.27,Остановка запрещена,No stopping,MATCH,PROHIBITORY, CORRECT. 3.27
3_28,93,3.28,Стоянка запрещена,No parking,MATCH,PROHIBITORY, CORRECT. 3.28
3_29,130,3.29,Стоянка запрещена по нечётным числам месяца,No parking on odd days,MATCH,PROHIBITORY,CORRECT. 3.29
3_30,126,3.30,Стоянка запрещена по чётным числам месяца,No parking on even days,MATCH,PROHIBITORY, CORRECT. 3.30
3_31,98,3.31,Конец зоны всех ограничений,End of all restrictions zone,MATCH,PROHIBITORY,CORRECT. 3.31
3_32,66,3.32,Движение ТС с опасными грузами запрещено,No dangerous goods vehicles,MATCH,PROHIBITORY, CORRECT. 3.32

3_33,140,3.33,Зона с ограничением максимальной скорости,Maximum speed limit zone,MATCH,PROHIBITORY, ПОКА ХЗ



4_1_1,22,4.1.1,Движение прямо,Proceed straight,MATCH,MANDATORY,CORRECT. 4.1.1
4_1_2,48,4.1.2,Движение направо,Turn right,MATCH,MANDATORY, CORRECT. 4.1.2

4_1_2_1,27,-,-,-,RUSSIAN_ONLY,UNKNOWN,ПОКА ХЗ
4_1_2_2,109,-,-,-,RUSSIAN_ONLY,UNKNOWN,No Belarus equivalent found

4_1_3,94,4.1.3,Движение налево,Turn left,MATCH,MANDATORY, CORRECT. 4.1.3
4_1_4,81,4.1.4,Движение прямо или направо,Proceed straight or turn right,MATCH,MANDATORY, CORRECT. 4.1.4
4_1_5,86,4.1.5,Движение прямо или налево,Proceed straight or turn left,MATCH,MANDATORY,CORRECT. 4.1.5
4_1_6,20,4.1.6,Движение направо или налево,Turn right or left,MATCH,MANDATORY, CORRECT. 4.1.6
4_2_1,14,4.2.1,Объезд препятствия справа,Keep right,MATCH,MANDATORY, CORRECT 4.2.1
4_2_2,91,4.2.2,Объезд препятствия слева,Keep left,MATCH,MANDATORY,CORRECT 4.2.2
4_2_3,21,4.2.3,Объезд препятствия справа или слева,Keep right or left,MATCH,MANDATORY, CORRECT 4.2.3
4_3,85,4.3,Круговое движение,Roundabout,MATCH,MANDATORY,CORRECT. 4.3
4_5,122,4.5.1,Велосипедная дорожка,Bicycle path,VARIANT,MANDATORY, CHANGE TO 4.6.1 
4_8_2,69,4.9.1,Направление движения ТС с опасными грузами (прямо),,RUSSIAN_ONLY,UNKNOWN, CHANGE TO 4.9.1
4_8_3,105,4.9.3,Направление движения ТС с опасными грузами (направо),,RUSSIAN_ONLY,UNKNOWN, CHANGE TO 4.9.3



5_3,96,5.3,Дорога для автомобилей,Road for cars,MATCH,OTHER, CORRECT. 5.3
5_4,95,5.4,Конец дороги для автомобилей,End of road for cars,MATCH,OTHER, CORRECT. 5.4
5_5,46,5.5,Дорога с односторонним движением,One-way road,MATCH,OTHER, CORRECT 5.5
5_6,45,5.6,Конец дороги с односторонним движением,End of one-way road,MATCH,OTHER, CORRECT. 5.6
5_7_1,127,5.7.1,Выезд на дорогу с односторонним движением,Exit to a one-way road,MATCH,OTHER,CORRECT. 5.7.1
5_7_2,128,5.7.2,Выезд на дорогу с односторонним движением,Exit to a one-way road,MATCH,OTHER,CORRECT. 5.7.2
5_8,142,5.35,Реверсивное движение,Lane directions,VARIANT,OTHER,CHANGE TO 5.35
5_11,135,5.10.1,Дорога с полосой для маршрутных тс,U-turn place,VARIANT,OTHER, CHANGE TO 5.10.1
5_12,132,5.10.4,Конец дороги с полосой для маршрутных тс,Bus and/or trolleybus stop,VARIANT,OTHER, CHANGE TO 5.10.4
5_14,116,5.9.1,Полоса для маршрутных тс,Express route stop,VARIANT,OTHER, CHANGE TO 5.9.1
5_15_1,40,5.8.1,Направления по полосам,Lane directions,RUSSIAN_ONLY,UNKNOWN, CHANGE TO 5.8.1
5_15_2,42,5.8.2,Направление движения по полосе,Lane direction,RUSSIAN_ONLY,UNKNOWN, CHANGE TO 5.8.2
5_15_2_2,54,5.8.8,Направление движения по полосе,Lane direction,RUSSIAN_ONLY,UNKNOWN, CHANGE TO 5.8.8
5_15_3,31,5.8.4,Начало полосы,Start direction,RUSSIAN_ONLY,UNKNOWN, CHANGE TO 5.8.4
5_15_5,24,5.8.5,Конец полосы,End direction,RUSSIAN_ONLY,UNKNOWN, CHANGE TO 5.8.5
5_15_7,115,5.8.7,Направления движения по полосам,Lane directions,RUSSIAN_ONLY,UNKNOWN, CHANGE TO 5.8.7
5_16,7,5.12.1,Остановочный пункт автобуса и (или) троллейбуса,Pedestrian crossing,VARIANT,OTHER,CHANGE TO 5.12.1
5_17,149,5.13.1,Остановочный пункт трамвая,Underpass,VARIANT,OTHER,CHANGE TO 5.13.1
5_18,74,5.14.2,Место стоянки такси,Recommended speed,VARIANT,OTHER,CHANGE TO 5.14.2
5_19_1,6,5.16,Пешеходный переход,Dead end,MATCH,OTHER,CHANGE TO 5.16

5_20,5,5.20.1,Предварительный указатель направлений,Advance direction sign,VARIANT,OTHER,ИСКУССТВЕННАЯ НЕРОВНОСТЬ БУДЕТ УБИРАТЬСЯ НЕ ПО РБ

5_21,117,5.38,Жилая зона,Direction sign,VARIANT,OTHER,CHANGE TO 5.38 
5_22,73,5.39,Конец жилой зоны,Entrance to built-up area,VARIANT,OTHER,CHANGE TO 5.39
6_2,99,5.18.1,Рекомендуемая скорость,Recommended speed,MATCH,SERVICE,change to 5.18.1
6_3_1,28,5.11.1,Место для разворота,,MATCH,SERVICE,CHANGE TO 5.11.1
6_4,34,5.15,Место стоянки,Vehicle maintenance,MATCH,SERVICE,CHANGE TO 5.15
6_6,39,5.17.1-2,Подземный пешеходный переход,,MATCH,SERVICE,CHANGE TO 5.17.1-2
6_7,30,5.17.3-4,Надземный пешеходный переход,,MATCH,SERVICE,CHANGE TO 5.17.3-4
6_8_1,148,5.19.1,Тупик,-,RUSSIAN_ONLY,UNKNOWN,CHANGE TO 5.19.1
6_8_2,97,5.19.2,Тупик,-,RUSSIAN_ONLY,UNKNOWN,CHANGE TO 5.19.2
6_8_3,138,5.19.3,Тупик,-,RUSSIAN_ONLY,UNKNOWN,CHANGE TO 5.19.3
6_15_1,119,5.30.1,Направление движения грузовых автомобилей,-,RUSSIAN_ONLY,UNKNOWN,CHANGE TO 5.30.1
6_15_2,106,5.30.2,Направление движения грузовых автомобилей,-,RUSSIAN_ONLY,UNKNOWN,CHANGE TO 5.30.2
6_15_3,131,5.30.3,Направление движения грузовых автомобилей,-,RUSSIAN_ONLY,UNKNOWN,CHANGE TO 5.30.3
6_16,9,5.33,Стоп линия,BelToll service point,MATCH,SERVICE, CHANGGE TO 5.33



7_1,92,6.1,Пункт первой медицинской помощи,,VARIANT,ADDITIONAL,CHANGE TO 6.1
7_2,41,6.2,Больница,Hospital,VARIANT,ADDITIONAL,CHANGE TO 6.2
7_3,32,6.3,Автозаправочная станция,,VARIANT,ADDITIONAL,CHANGE TO 6.3
7_4,47,6.4,Техническое обслуживание автомобилей,,VARIANT,ADDITIONAL,CHANGE TO 6.4 
7_5,76,6.5,Мойка автомобилей,,VARIANT,ADDITIONAL,CHANGE TO 6.5
7_6,82,6.6,Телефон,Telephone,VARIANT,ADDITIONAL,CHANGE TO 6.6
7_7,60,6.7,Пункт питания,,MATCH,ADDITIONAL, CHANGE TO 6.7
7_11,50,6.11,Место отдыха,Maximum mass limit,MATCH,ADDITIONAL, CHANGE TO 6.11
7_18,152,6.13,Туалет,Toilet,MATCH,ADDITIONAL,CHANGE TO 6.13
7_14,153,6.14,Пункт контроля автомобильных перевозок,Traffic lane,MATCH,ADDITIONAL,CHANGE TO 6.14



8_1_1,29,7.1.1,Расстояние до объекта,-,RUSSIAN_ONLY,UNKNOWN, RB 7.1.1
8_1_3,83,7.1.3,Расстояние до объекта,-,RUSSIAN_ONLY,UNKNOWN, RB 7.1.3
8_1_4,35,7.1.4,Расстояние до объекта,-,RUSSIAN_ONLY,UNKNOWN,RB 7.1.4
8_2_1,4,7.2.1,Зона действия,-,RUSSIAN_ONLY,UNKNOWN,RB 7.2.1
8_2_2,49,7.2.2,Зона действия,-,RUSSIAN_ONLY,UNKNOWN, RB 7.2.2
8_2_3,87,7.2.3,Зона действия,-,RUSSIAN_ONLY,UNKNOWN,RB 7.2.3
8_2_4,88,7.2.4,Зона действия,-,RUSSIAN_ONLY,UNKNOWN,RB 7.2.4
8_3_1,84,7.3.1,Направление действия,-,RUSSIAN_ONLY,UNKNOWN,RB 7.3.1
8_3_2,18,,-,-,RUSSIAN_ONLY,UNKNOWN,Section 8 (Russian-specific additional signs)

8_3_3,58,7.2.4,Зона действия,-,RUSSIAN_ONLY,UNKNOWN,Rb 7.2.4 ЗАЧЕМ ТО РАЗБИТА ПО ДВУМ ГРУППАМ НЕПОНЧТНО

8_4_1,77,7.4,Вид ТС,-,RUSSIAN_ONLY,UNKNOWN,НЕ РАБИВАТТЬ. ОДИН КЛАСС
8_4_3,141,7.4,Вид ТС,-,RUSSIAN_ONLY,UNKNOWN,
8_4_4,125,7.4,Вид ТС,-,RUSSIAN_ONLY,UNKNOWN,

8_5_2,147,7.5.2,Рабочие дни,-,RUSSIAN_ONLY,UNKNOWN,RB 7.5.2
8_5_4,114,7.5.4,Время действия,-,RUSSIAN_ONLY,UNKNOWN,RB 7.5.4

8_6_2,137,7.6,Способ постановки транспортного средства на стоянку,-,RUSSIAN_ONLY,UNKNOWN,RB 7.6
8_6_4,120,7.6,Способ постановки транспортного средства на стоянку,-,RUSSIAN_ONLY,UNKNOWN,В ОДИН КЛАСС

8_8,36,7.8,Платные услуги,-,RUSSIAN_ONLY,UNKNOWN,RB 7.8
8_13,62,7.13,Направление главной дороги,-,RUSSIAN_ONLY,UNKNOWN,RB 7.13

8_13_1,13,-,-,-,RUSSIAN_ONLY,UNKNOWN,ПОКА ХЗ

8_14,143,7.14,Полоса движения,-,RUSSIAN_ONLY,UNKNOWN,RB 7.14
8_15,121,7.15,Пешеходы - инвалиды по зрению,-,RUSSIAN_ONLY,UNKNOWN,RB 7.15
8_16,151,7.16,Влажное покрытие,-,RUSSIAN_ONLY,UNKNOWN,RB 7.16
8_17,144,7.17,Инвалиды,-,RUSSIAN_ONLY,UNKNOWN,RB 7.17
8_18,124,7.18,Кроме инвалидов,-,RUSSIAN_ONLY,UNKNOWN,RB 7.18

8_23,154,-,-,-,RUSSIAN_ONLY,UNKNOWN,    



NOT IN Belarus
2_3_5,75,-,-,-,RUSSIAN_ONLY,UNKNOWN,No Belarus equivalent found
2_3_6,72,-,-,-,RUSSIAN_ONLY,UNKNOWN,No Belarus equivalent found
7_12,43,6.12,ГАИ,Road marking,MATCH,ADDITIONAL,В БЕЛАРУСИ НЕ ДПС А ГАИ УБРАТЬ ГРУППУ
7_15,10,,РАДИО,Blind pedestrians,MATCH,ADDITIONAL,В РБ НЕТ ТАКОГО ЗНАКА
