Раздел / Section,Пункт / Code,Название (РУС),Name (ENG)
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.24.1,Ограничение максимальной скорости,Maximum speed limit
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.24.2,Ограничение максимальной скорости (временный),Maximum speed limit (temporary)
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.25.1,Конец зоны ограничения максимальной скорости,End of maximum speed limit zone
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.25.2,Конец зоны ограничения макс. скорости (временный),End of maximum speed limit zone (temporary)
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.26,Подача звукового сигнала запрещена,No horns
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.27,Остановка запрещена,No stopping
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.28,Стоянка запрещена,No parking
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.29,Стоянка запрещена по нечётным числам месяца,No parking on odd days
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.30,Стоянка запрещена по чётным числам месяца,No parking on even days
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.31,Конец зоны всех ограничений,End of all restrictions zone
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.32,Движение ТС с опасными грузами запрещено,No dangerous goods vehicles
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.33,Зона с ограничением максимальной скорости,Maximum speed limit zone
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.34,Конец зоны с ограничением максимальной скорости,End of maximum speed limit zone
§ 3. ЗАПРЕЩАЮЩИЕ ЗНАКИ / PROHIBITORY SIGNS,3.35,Движение на средствах персональной мобильности запрещено,No personal mobility devices
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.1.1,Движение прямо,Proceed straight
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.1.2,Движение направо,Turn right
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.1.3,Движение налево,Turn left
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.1.4,Движение прямо или направо,Proceed straight or turn right
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.1.5,Движение прямо или налево,Proceed straight or turn left
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.1.6,Движение направо или налево,Turn right or left
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.2.1,Объезд препятствия справа,Keep right
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.2.2,Объезд препятствия слева,Keep left
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.2.3,Объезд препятствия справа или слева,Keep right or left
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.3,Круговое движение,Roundabout
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.4,Движение легковых автомобилей,Passenger car traffic
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.5.1,Велосипедная дорожка,Bicycle path
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.5.2,Конец велосипедной дорожки,End of bicycle path
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.6.1,Пешеходная дорожка,Footpath
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.6.2,Конец пешеходной дорожки,End of footpath
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.7,Ограничение минимальной скорости,Minimum speed limit
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.8,Конец зоны ограничения минимальной скорости,End of minimum speed limit zone
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.9.1,Направление движения ТС с опасными грузами (налево),Dangerous goods direction (left)
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.9.2,Направление движения ТС с опасными грузами (прямо),Dangerous goods direction (straight)
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.9.3,Направление движения ТС с опасными грузами (направо),Dangerous goods direction (right)
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.10.1,Дорожка для всадников,Rider path
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.10.2,Конец дорожки для всадников,End of rider path
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.11.1,Начало пешеходной и велосипедной дорожки,Start of pedestrian and bicycle path
§ 4. ПРЕДПИСЫВАЮЩИЕ ЗНАКИ / MANDATORY SIGNS,4.11.2,Начало пешеходной и велосипедной дорожки,Start of pedestrian and bicycle path
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.1,Автомагистраль,Motorway
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.2,Конец автомагистрали,End of motorway
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.3,Дорога для автомобилей,Road for cars
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.4,Конец дороги для автомобилей,End of road for cars
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.5,Дорога с односторонним движением,One-way road
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.6,Конец дороги с односторонним движением,End of one-way road
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.7.1,Выезд на дорогу с односторонним движением,Exit to a one-way road
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.7.2,Выезд на дорогу с односторонним движением,Exit to a one-way road
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.8.1,Направления движения по полосам,Lane directions
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.8.2,Направления движения по полосам,Lane directions
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.8.3,Начало полосы,Start of lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.8.4,Начало полосы,Start of lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.8.5,Конец полосы,End of lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.8.6,Конец полосы,End of lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.8.7,Направление движения по полосе,Lane direction
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.8.8,Направление движения по полосе,Lane direction
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.9.1,Полоса для маршрутных ТС,Bus lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.9.2,Конец полосы для маршрутных ТС,End of bus lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.10.1,Дорога с полосой для маршрутных ТС,Road with bus lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.10.2,Выезд на дорогу с полосой для маршрутных ТС,End of road with bus lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.10.3,Выезд на дорогу с полосой для маршрутных ТС,Exit to road with bus lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.10.4,Конец дороги с полосой для маршрутных ТС,Exit to road with bus lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.10.5,Дорога с велосипедной дорожкой
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.10.6,Выезд на дорогу с велосипедной дорожкой
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.10.7,Выезд на дорогу с велосипедной дорожкой
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.10.8,Конец дороги с велосипедной дорожкой
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.11.1,Место для разворота,U-turn place
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.11.2,Зона для разворота,U-turn zone
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.12.1,Остановочный пункт автобуса и (или) троллейбуса,Bus and/or trolleybus stop
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.12.2,Место остановки автобуса и (или) троллейбуса,
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.13.1,Остановочный пункт трамвая,Tram stop
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.13.2,Место остановки трамвая,Tram stop
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.14.1,Остановочный пункт экспресс-маршрута,Express route stop
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.14.2,Место стоянки такси,Taxi stand
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.15,Место стоянки,Parking
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.16.1,Пешеходный переход,Pedestrian crossing
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.16.2,Пешеходный переход,Pedestrian crossing
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.16.3,Велосипедный переезд,Cyclist crossing
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.16.4,Велосипедный переезд,Cyclist crossing
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.17.1,Подземный пешеходный переход,Underpass
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.17.2,Подземный пешеходный переход,Underpass
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.17.3,Надземный пешеходный переход,Footbridge
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.17.4,Надземный пешеходный переход,Footbridge
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.18.1,Рекомендуемая скорость,Recommended speed
